id,customer_message,intent,expected_resolution,should_escalate,conversation_id,source
1,Where is my package? Tracking number 9400111899564726274 says delivered yesterday but I checked everywhere.,delivery_delay_tracking,Direct customer to check surroundings and provide carrier window before escalation.,AUTO_HANDLE,gold_amzn_0001,curated_evaluation_benchmark
2,My order has been stuck in 'Departed Facility' in Memphis for 5 days with no new scan.,delivery_delay_tracking,Advise carrier transit buffer and offer delivery date check.,AUTO_HANDLE,gold_amzn_0002,curated_evaluation_benchmark
3,I ordered same day delivery for my medicine and it's 11 PM and nothing has arrived.,delivery_delay_tracking,Urgent essential item requiring agent investigation with local dispatch.,ESCALATE,gold_amzn_0003,curated_evaluation_benchmark
4,Can you tell me which carrier is delivering order #112-9982736-2281920?,delivery_delay_tracking,Provide carrier identification and tracking link.,AUTO_HANDLE,gold_amzn_0004,curated_evaluation_benchmark
5,Tracking shows package handed to resident but I was out of town all week!,delivery_delay_tracking,Potential misdelivery or theft requiring driver inquiry and claim filing.,ESCALATE,gold_amzn_0005,curated_evaluation_benchmark
6,Why does Amazon logistics keep delivering to the back alley instead of front porch?,delivery_delay_tracking,Provide instructions on updating delivery preferences and gate codes.,AUTO_HANDLE,gold_amzn_0006,curated_evaluation_benchmark
7,"The delivery driver marked my package undeliverable due to dog, but I don't own any pets.",delivery_delay_tracking,Explain re-attempt schedule and update access notes.,AUTO_HANDLE,gold_amzn_0007,curated_evaluation_benchmark
8,Is there a delay on shipments heading to the Chicago area due to snowstorms?,delivery_delay_tracking,Confirm weather-related regional delays and revised delivery window.,AUTO_HANDLE,gold_amzn_0008,curated_evaluation_benchmark
9,"My package was supposed to arrive by 8pm today. It's now 8:15pm, is it still coming?",delivery_delay_tracking,Explain delivery routes can run until 9:00 PM.,AUTO_HANDLE,gold_amzn_0009,curated_evaluation_benchmark
10,Order #701-4491028-1120481 says out for delivery since 6 AM but hasn't arrived.,delivery_delay_tracking,Reassure that out for delivery status remains active until end of route.,AUTO_HANDLE,gold_amzn_0010,curated_evaluation_benchmark
11,Package was left in the rain and now the cardboard box is soaking wet.,delivery_delay_tracking,Courier handling complaint with potential damaged contents.,ESCALATE,gold_amzn_0011,curated_evaluation_benchmark
12,Can I change the delivery address while the package is already in transit?,delivery_delay_tracking,Explain courier policy that in-transit address re-routing cannot be modified.,AUTO_HANDLE,gold_amzn_0012,curated_evaluation_benchmark
13,Tracking says 'Held at carrier facility per customer request' but I never requested this!,delivery_delay_tracking,Carrier discrepancy requiring agent contact with station.,ESCALATE,gold_amzn_0013,curated_evaluation_benchmark
14,Does Amazon Prime deliver packages on Sunday in postal code 98101?,delivery_delay_tracking,Confirm Sunday delivery availability for Prime eligible zip codes.,AUTO_HANDLE,gold_amzn_0014,curated_evaluation_benchmark
15,My tracking status says 'Returned to sender - Damaged in transit'. What happens now?,delivery_delay_tracking,Explain that return to sender triggers an automatic refund or re-order upon scan.,AUTO_HANDLE,gold_amzn_0015,curated_evaluation_benchmark
